,day,timestamp,product,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,mid_price,profit_and_loss
0,-2,0,BANANAS,4997,26,,,,,5003,26,,,,,5000.0,0.0
2,-2,100,BANANAS,4997,20,,,,,4998,1,5004.0,20.0,,,4997.5,2.86328125
5,-2,200,BANANAS,4997,31,,,,,5004,31,,,,,5000.5,2.536621094
7,-2,300,BANANAS,4997,27,,,,,5004,27,,,,,5000.5,2.405761719
9,-2,400,BANANAS,4997,20,,,,,5002,9,5004.0,20.0,,,4999.5,2.92578125
11,-2,500,BANANAS,5002,1,4997.0,30.0,,,5004,30,,,,,5003.0,2.565917969
13,-2,600,BANANAS,4997,30,,,,,5004,30,,,,,5000.5,2.388671875
15,-2,700,BANANAS,4998,5,4997.0,28.0,,,5004,28,,,,,5001.0,2.603515625
17,-2,800,BANANAS,5003,1,4997.0,23.0,,,5004,23,,,,,5003.5,2.372558594
19,-2,900,BANANAS,4997,30,,,,,5004,30,,,,,5000.5,2.228027344
20,-2,1000,BANANAS,4998,2,4997.0,22.0,,,5004,24,,,,,5001.0,2.111816406
23,-2,1100,BANANAS,4998,3,4997.0,25.0,,,5004,26,,,,,5001.0,-0.796875
24,-2,1200,BANANAS,4999,6,4998.0,28.0,,,5004,1,5005.0,27.0,,,5001.5,-1.231445313
27,-2,1300,BANANAS,5000,3,4997.0,23.0,,,5004,23,,,,,5002.0,-0.642578125
28,-2,1400,BANANAS,4997,26,,,,,5004,26,,,,,5000.5,-5.8046875
31,-2,1500,BANANAS,4997,27,,,,,5004,27,,,,,5000.5,-39.6953125
32,-2,1600,BANANAS,4998,1,4997.0,23.0,,,5004,24,,,,,5001.0,-41.015625
35,-2,1700,BANANAS,4997,28,,,,,5002,6,5004.0,28.0,,,4999.5,-41.3203125
36,-2,1800,BANANAS,5003,1,4998.0,10.0,4997.0,24.0,5004,24,,,,,5003.5,-38.96875
39,-2,1900,BANANAS,5002,1,4997.0,26.0,,,5004,26,,,,,5003.0,-30.109375
40,-2,2000,BANANAS,5002,1,4997.0,31.0,,,5004,31,,,,,5003.0,-27.9375
43,-2,2100,BANANAS,4997,22,,,,,5004,22,,,,,5000.5,-26.2734375
44,-2,2200,BANANAS,4997,26,,,,,5003,1,5004.0,25.0,,,5000.0,-23.8359375
47,-2,2300,BANANAS,4997,30,,,,,5004,30,,,,,5000.5,-35.171875
49,-2,2400,BANANAS,4998,30,,,,,5005,30,,,,,5001.5,-43.9765625
51,-2,2500,BANANAS,4997,21,,,,,5004,21,,,,,5000.5,-20.1953125
53,-2,2600,BANANAS,4996,22,,,,,5003,22,,,,,4999.5,-3.6171875
55,-2,2700,BANANAS,4996,27,,,,,5001,8,5002.0,1.0,5003.0,26.0,4998.5,-2.0703125
57,-2,2800,BANANAS,4996,28,,,,,5003,28,,,,,4999.5,1.6484375
59,-2,2900,BANANAS,4996,30,,,,,5003,30,,,,,4999.5,-0.203125
61,-2,3000,BANANAS,4996,28,,,,,5002,2,5003.0,26.0,,,4999.0,-2.09375
63,-2,3100,BANANAS,5002,1,4997.0,25.0,,,5003,2,5004.0,23.0,,,5002.5,-20.6328125
64,-2,3200,BANANAS,4996,28,,,,,5003,28,,,,,4999.5,-10.8671875
66,-2,3300,BANANAS,4996,20,,,,,5003,20,,,,,4999.5,-10.96875
68,-2,3400,BANANAS,4997,23,,,,,5003,1,5004.0,22.0,,,5000.0,-38.1796875
70,-2,3500,BANANAS,5003,1,4997.0,31.0,,,5004,31,,,,,5003.5,-44.59375
72,-2,3600,BANANAS,4998,3,4997.0,26.0,,,5004,26,,,,,5001.0,-51.1796875
74,-2,3700,BANANAS,4997,27,,,,,5004,27,,,,,5000.5,-46.0390625
76,-2,3800,BANANAS,4996,27,,,,,5001,7,5003.0,27.0,,,4998.5,-29.609375
78,-2,3900,BANANAS,5002,1,4997.0,1.0,4996.0,25.0,5003,26,,,,,5002.5,-31.2578125
80,-2,4000,BANANAS,4998,3,4997.0,27.0,,,5004,27,,,,,5001.0,-30.328125
