,day,timestamp,product,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,mid_price,profit_and_loss
1,-2,0,PEARLS,9996,1,9995.0,25.0,,,10004,1,10005.0,25.0,,,10000.0,0.0
3,-2,100,PEARLS,10000,5,9995.0,20.0,,,10005,20,,,,,10002.5,-8.0
4,-2,200,PEARLS,9996,1,9995.0,30.0,,,10004,1,10005.0,30.0,,,10000.0,-8.0
6,-2,300,PEARLS,9996,1,9995.0,26.0,,,10004,1,10005.0,26.0,,,10000.0,-8.0
8,-2,400,PEARLS,9995,20,,,,,9998,3,10002.0,9.0,10005.0,20.0,9996.5,-8.0
10,-2,500,PEARLS,9995,30,,,,,10005,30,,,,,10000.0,-8.0
12,-2,600,PEARLS,9995,30,,,,,10005,30,,,,,10000.0,-8.0
14,-2,700,PEARLS,9998,5,9996.0,1.0,9995.0,27.0,10004,1,10005.0,27.0,,,10001.0,-8.0
16,-2,800,PEARLS,9996,2,9995.0,21.0,,,10004,2,10005.0,21.0,,,10000.0,-8.0
18,-2,900,PEARLS,9995,30,,,,,10005,30,,,,,10000.0,-8.0
21,-2,1000,PEARLS,10002,1,9996.0,2.0,9995.0,22.0,10004,2,10005.0,22.0,,,10003.0,-8.0
22,-2,1100,PEARLS,9998,3,9996.0,1.0,9995.0,25.0,10004,1,10005.0,25.0,,,10001.0,-8.0
25,-2,1200,PEARLS,9998,6,9996.0,1.0,9995.0,27.0,10004,1,10005.0,27.0,,,10001.0,-8.0
26,-2,1300,PEARLS,10000,3,9995.0,23.0,,,10005,23,,,,,10002.5,-8.0
29,-2,1400,PEARLS,9995,26,,,,,9998,3,10005.0,26.0,,,9996.5,-8.0
30,-2,1500,PEARLS,9996,2,9995.0,25.0,,,10004,2,10005.0,25.0,,,10000.0,-8.0
33,-2,1600,PEARLS,9996,1,9995.0,23.0,,,10004,1,10005.0,23.0,,,10000.0,-4.0
34,-2,1700,PEARLS,9995,28,,,,,10002,6,10005.0,28.0,,,9998.5,-4.0
37,-2,1800,PEARLS,9998,10,9995.0,24.0,,,10005,24,,,,,10001.5,-4.0
38,-2,1900,PEARLS,9996,1,9995.0,25.0,,,10004,1,10005.0,25.0,,,10000.0,-4.0
41,-2,2000,PEARLS,9996,1,9995.0,30.0,,,10004,1,10005.0,30.0,,,10000.0,-4.0
42,-2,2100,PEARLS,9996,2,9995.0,20.0,,,10004,2,10005.0,20.0,,,10000.0,-4.0
45,-2,2200,PEARLS,10002,1,9996.0,1.0,9995.0,25.0,10004,1,10005.0,25.0,,,10003.0,-4.0
46,-2,2300,PEARLS,9996,2,9995.0,28.0,,,10004,2,10005.0,28.0,,,10000.0,-4.0
48,-2,2400,PEARLS,9995,30,,,,,10005,30,,,,,10000.0,-4.0
50,-2,2500,PEARLS,9995,21,,,,,9998,1,10005.0,21.0,,,9996.5,-4.0
52,-2,2600,PEARLS,9996,1,9995.0,21.0,,,10004,1,10005.0,21.0,,,10000.0,-6.0
54,-2,2700,PEARLS,9996,1,9995.0,26.0,,,10002,8,10004.0,1.0,10005.0,26.0,9999.0,-6.0
56,-2,2800,PEARLS,9995,28,,,,,10005,28,,,,,10000.0,-6.0
58,-2,2900,PEARLS,9995,30,,,,,10005,30,,,,,10000.0,-6.0
60,-2,3000,PEARLS,10002,3,9996.0,2.0,9995.0,26.0,10004,2,10005.0,26.0,,,10003.0,-6.0
62,-2,3100,PEARLS,9996,2,9995.0,23.0,,,10004,2,10005.0,23.0,,,10000.0,-6.0
65,-2,3200,PEARLS,9996,2,9995.0,26.0,,,10004,2,10005.0,26.0,,,10000.0,-6.0
67,-2,3300,PEARLS,9995,20,,,,,10005,20,,,,,10000.0,-10.0
69,-2,3400,PEARLS,9996,1,9995.0,22.0,,,10004,1,10005.0,22.0,,,10000.0,-20.0
71,-2,3500,PEARLS,9996,2,9995.0,29.0,,,10004,2,10005.0,29.0,,,10000.0,-20.0
73,-2,3600,PEARLS,9998,3,9995.0,26.0,,,10005,26,,,,,10001.5,-20.0
75,-2,3700,PEARLS,9996,2,9995.0,25.0,,,10004,2,10005.0,25.0,,,10000.0,10.0
77,-2,3800,PEARLS,9995,27,,,,,10002,7,10005.0,27.0,,,9998.5,10.0
79,-2,3900,PEARLS,9996,1,9995.0,25.0,,,10004,1,10005.0,25.0,,,10000.0,10.0
81,-2,4000,PEARLS,9998,2,9995.0,27.0,,,10005,27,,,,,10001.5,8.0
83,-2,4100,PEARLS,9998,8,9995.0,28.0,,,10005,28,,,,,10001.5,8.0
85,-2,4200,PEARLS,9998,6,9996.0,2.0,9995.0,23.0,10004,2,10005.0,23.0,,,10001.0,8.0
87,-2,4300,PEARLS,9995,26,,,,,10005,26,,,,,10000.0,20.0
89,-2,4400,PEARLS,9998,8,9996.0,1.0,9995.0,28.0,10004,1,10005.0,28.0,,,10001.0,20.0
91,-2,4500,PEARLS,9998,1,9996.0,1.0,9995.0,29.0,10004,1,10005.0,29.0,,,10001.0,20.0
93,-2,4600,PEARLS,9996,2,9995.0,29.0,,,10004,2,10005.0,29.0,,,10000.0,20.0
94,-2,4700,PEARLS,9996,1,9995.0,29.0,,,10002,3,10004.0,1.0,10005.0,29.0,9999.0,20.0
96,-2,4800,PEARLS,9996,2,9995.0,24.0,,,10002,6,10004.0,2.0,10005.0,24.0,9999.0,20.0
98,-2,4900,PEARLS,10002,1,9996.0,2.0,9995.0,22.0,10004,2,10005.0,22.0,,,10003.0,20.0
100,-2,5000,PEARLS,9996,1,9995.0,20.0,,,10002,1,10004.0,1.0,10005.0,20.0,9999.0,20.0
102,-2,5100,PEARLS,9996,2,9995.0,29.0,,,10004,2,10005.0,29.0,,,10000.0,20.0
104,-2,5200,PEARLS,9996,2,9995.0,25.0,,,10004,2,10005.0,25.0,,,10000.0,20.0
106,-2,5300,PEARLS,9996,1,9995.0,22.0,,,10004,1,10005.0,22.0,,,10000.0,20.0
108,-2,5400,PEARLS,9996,1,9995.0,29.0,,,10004,1,10005.0,29.0,,,10000.0,20.0
110,-2,5500,PEARLS,9998,7,9996.0,2.0,9995.0,28.0,10004,2,10005.0,28.0,,,10001.0,20.0
