day,timestamp,product,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,mid_price,profit_and_loss
-2,0,BANANAS,4997,26,,,,,5003,26,,,,,5000,0
-2,0,PEARLS,9996,1,9995,25,,,10004,1,10005,25,,,10000,0
-2,100,BANANAS,4997,20,,,,,4998,1,5004,20,,,4997.5,2.86328125
-2,100,PEARLS,10000,5,9995,20,,,10005,20,,,,,10002.5,-8
-2,200,PEARLS,9996,1,9995,30,,,10004,1,10005,30,,,10000,-8
-2,200,BANANAS,4997,31,,,,,5004,31,,,,,5000.5,2.536621094
-2,300,PEARLS,9996,1,9995,26,,,10004,1,10005,26,,,10000,-8
-2,300,BANANAS,4997,27,,,,,5004,27,,,,,5000.5,2.405761719
-2,400,PEARLS,9995,20,,,,,9998,3,10002,9,10005,20,9996.5,-8
-2,400,BANANAS,4997,20,,,,,5002,9,5004,20,,,4999.5,2.92578125
-2,500,PEARLS,9995,30,,,,,10005,30,,,,,10000,-8
-2,500,BANANAS,5002,1,4997,30,,,5004,30,,,,,5003,2.565917969
-2,600,PEARLS,9995,30,,,,,10005,30,,,,,10000,-8
-2,600,BANANAS,4997,30,,,,,5004,30,,,,,5000.5,2.388671875
-2,700,PEARLS,9998,5,9996,1,9995,27,10004,1,10005,27,,,10001,-8
-2,700,BANANAS,4998,5,4997,28,,,5004,28,,,,,5001,2.603515625
-2,800,PEARLS,9996,2,9995,21,,,10004,2,10005,21,,,10000,-8
-2,800,BANANAS,5003,1,4997,23,,,5004,23,,,,,5003.5,2.372558594
-2,900,PEARLS,9995,30,,,,,10005,30,,,,,10000,-8
-2,900,BANANAS,4997,30,,,,,5004,30,,,,,5000.5,2.228027344
-2,1000,BANANAS,4998,2,4997,22,,,5004,24,,,,,5001,2.111816406
-2,1000,PEARLS,10002,1,9996,2,9995,22,10004,2,10005,22,,,10003,-8
-2,1100,PEARLS,9998,3,9996,1,9995,25,10004,1,10005,25,,,10001,-8
-2,1100,BANANAS,4998,3,4997,25,,,5004,26,,,,,5001,-0.796875
-2,1200,BANANAS,4999,6,4998,28,,,5004,1,5005,27,,,5001.5,-1.231445313
-2,1200,PEARLS,9998,6,9996,1,9995,27,10004,1,10005,27,,,10001,-8
-2,1300,PEARLS,10000,3,9995,23,,,10005,23,,,,,10002.5,-8
-2,1300,BANANAS,5000,3,4997,23,,,5004,23,,,,,5002,-0.642578125
-2,1400,BANANAS,4997,26,,,,,5004,26,,,,,5000.5,-5.8046875
-2,1400,PEARLS,9995,26,,,,,9998,3,10005,26,,,9996.5,-8
-2,1500,PEARLS,9996,2,9995,25,,,10004,2,10005,25,,,10000,-8
-2,1500,BANANAS,4997,27,,,,,5004,27,,,,,5000.5,-39.6953125
-2,1600,BANANAS,4998,1,4997,23,,,5004,24,,,,,5001,-41.015625
-2,1600,PEARLS,9996,1,9995,23,,,10004,1,10005,23,,,10000,-4
-2,1700,PEARLS,9995,28,,,,,10002,6,10005,28,,,9998.5,-4
-2,1700,BANANAS,4997,28,,,,,5002,6,5004,28,,,4999.5,-41.3203125
-2,1800,BANANAS,5003,1,4998,10,4997,24,5004,24,,,,,5003.5,-38.96875
-2,1800,PEARLS,9998,10,9995,24,,,10005,24,,,,,10001.5,-4
-2,1900,PEARLS,9996,1,9995,25,,,10004,1,10005,25,,,10000,-4
-2,1900,BANANAS,5002,1,4997,26,,,5004,26,,,,,5003,-30.109375
-2,2000,BANANAS,5002,1,4997,31,,,5004,31,,,,,5003,-27.9375
-2,2000,PEARLS,9996,1,9995,30,,,10004,1,10005,30,,,10000,-4
-2,2100,PEARLS,9996,2,9995,20,,,10004,2,10005,20,,,10000,-4
-2,2100,BANANAS,4997,22,,,,,5004,22,,,,,5000.5,-26.2734375
-2,2200,BANANAS,4997,26,,,,,5003,1,5004,25,,,5000,-23.8359375
-2,2200,PEARLS,10002,1,9996,1,9995,25,10004,1,10005,25,,,10003,-4
-2,2300,PEARLS,9996,2,9995,28,,,10004,2,10005,28,,,10000,-4
-2,2300,BANANAS,4997,30,,,,,5004,30,,,,,5000.5,-35.171875
-2,2400,PEARLS,9995,30,,,,,10005,30,,,,,10000,-4
-2,2400,BANANAS,4998,30,,,,,5005,30,,,,,5001.5,-43.9765625
-2,2500,PEARLS,9995,21,,,,,9998,1,10005,21,,,9996.5,-4
-2,2500,BANANAS,4997,21,,,,,5004,21,,,,,5000.5,-20.1953125
-2,2600,PEARLS,9996,1,9995,21,,,10004,1,10005,21,,,10000,-6
-2,2600,BANANAS,4996,22,,,,,5003,22,,,,,4999.5,-3.6171875
-2,2700,PEARLS,9996,1,9995,26,,,10002,8,10004,1,10005,26,9999,-6
-2,2700,BANANAS,4996,27,,,,,5001,8,5002,1,5003,26,4998.5,-2.0703125
-2,2800,PEARLS,9995,28,,,,,10005,28,,,,,10000,-6
-2,2800,BANANAS,4996,28,,,,,5003,28,,,,,4999.5,1.6484375
-2,2900,PEARLS,9995,30,,,,,10005,30,,,,,10000,-6
-2,2900,BANANAS,4996,30,,,,,5003,30,,,,,4999.5,-0.203125
-2,3000,PEARLS,10002,3,9996,2,9995,26,10004,2,10005,26,,,10003,-6
-2,3000,BANANAS,4996,28,,,,,5002,2,5003,26,,,4999,-2.09375
-2,3100,PEARLS,9996,2,9995,23,,,10004,2,10005,23,,,10000,-6
-2,3100,BANANAS,5002,1,4997,25,,,5003,2,5004,23,,,5002.5,-20.6328125
-2,3200,BANANAS,4996,28,,,,,5003,28,,,,,4999.5,-10.8671875
-2,3200,PEARLS,9996,2,9995,26,,,10004,2,10005,26,,,10000,-6
-2,3300,BANANAS,4996,20,,,,,5003,20,,,,,4999.5,-10.96875
-2,3300,PEARLS,9995,20,,,,,10005,20,,,,,10000,-10
