,mid_price
94,7999.5
494,7990.5
577,7990.5
1206,7986.0
1386,7988.0
1422,7991.0
1918,7971.5
2001,7975.5
2134,7977.5
2582,7974.0
2810,7967.5
2982,7963.5
3065,7965.5
3294,7963.0
3694,7965.0
3874,7974.0
3910,7979.5
4406,7986.0
4489,7983.5
4622,7973.5
5070,7952.0
5118,7953.0
5298,7953.5
5470,7948.0
5553,7941.5
5782,7934.0
6182,7935.5
6398,7940.5
6894,7943.5
6977,7945.5
7110,7939.5
7558,7938.5
7606,7938.0
7786,7944.5
7958,7946.0
8041,7944.5
8270,7952.5
8670,7951.5
8886,7943.5
9382,7966.0
9465,7970.5
9598,7965.0
10046,7963.0
10094,7964.5
10274,7968.0
10446,7974.5
10529,7976.0
10758,7973.5
10889,7968.5
11158,7956.5
11870,7943.0
11953,7944.5
12086,7939.5
12582,7946.5
12762,7934.0
12798,7935.0
12934,7932.0
13246,7935.5
13377,7934.5
13646,7930.5
14358,7929.0
14441,7930.5
14574,7924.5
15070,7906.5
15250,7910.5
15286,7911.0
15734,7923.5
15865,7919.0
16134,7928.0
16846,7930.5
16929,7930.0
17062,7932.0
17558,7922.0
17738,7922.5
17774,7921.0
18222,7915.0
18353,7913.5
18622,7905.5
19334,7913.5
19417,7915.5
19550,7912.5
20046,7906.5
20226,7911.0
20262,7912.5
20710,7918.5
20841,7922.5
21110,7916.5
21822,7893.5
21905,7892.0
22038,7884.5
22534,7880.5
22714,7876.0
22750,7875.0
23198,7863.5
23329,7871.0
23598,7875.5
23910,7889.5
24310,7882.5
24393,7879.5
24526,7876.5
25022,7875.5
25202,7887.5
25238,7888.5
25686,7890.0
25734,7886.0
25817,7887.0
26086,7893.0
26398,7896.5
26798,7911.5
26881,7908.5
27014,7912.5
27510,7912.0
27690,7912.0
27726,7915.5
28174,7912.5
28222,7911.5
28305,7906.0
28574,7906.0
28886,7907.5
29286,7906.5
29369,7907.5
29998,7924.5
30178,7923.0
30214,7919.0
30662,7909.0
30710,7908.0
30793,7905.5
31062,7904.5
31374,7917.0
31774,7903.5
31857,7900.0
32486,7909.0
32666,7898.0
32702,7898.0
33198,7909.5
33281,7910.5
33414,7920.0
33862,7924.5
34262,7927.5
34345,7931.0
34974,7919.5
35154,7918.5
35190,7917.5
35686,7926.5
35769,7922.5
35902,7921.0
36350,7920.5
36750,7922.5
36833,7927.0
37462,7927.0
37642,7928.0
37678,7930.5
38174,7935.5
38257,7938.5
38390,7929.5
38838,7927.5
39238,7923.0
39321,7927.0
39950,7926.5
94,8108.5
494,8087.0
577,8091.5
1206,8100.0
1386,8090.5
1422,8093.0
1918,8091.5
2001,8093.5
2134,8096.5
2582,8095.0
2810,8093.0
2982,8097.5
3065,8097.5
3294,8105.5
3694,8114.5
3874,8106.5
3910,8105.5
4406,8107.0
4489,8109.5
4622,8110.0
5070,8115.0
5118,8111.5
5298,8115.0
5470,8110.5
5553,8110.5
5782,8102.0
6182,8099.5
6398,8100.5
6894,8098.0
6977,8101.5
7110,8099.5
7558,8092.5
7606,8092.0
7786,8086.5
7958,8082.0
8041,8083.0
8270,8082.5
8670,8089.0
8886,8089.5
9382,8089.5
9465,8091.5
9598,8085.0
10046,8079.5
10094,8074.5
10274,8070.5
10446,8066.5
10529,8062.0
10758,8058.5
10889,8067.5
11158,8081.0
11870,8063.5
